sequence	16S_rRNA_Count	metadata_NSTI
OTU000958	1	0.137158
OTU000959	1	0.328431
OTU000960	1	0.351323
OTU000961	4	0.31294099999999997
OTU000962	1	0.126585
OTU000963	1	0.0233
OTU000964	1	0.788818
OTU000965	1	0.321644
OTU000966	4	0.29483899999999996
OTU000967	1	0.8860309999999999
OTU000968	4	0.986456
OTU000969	4	0.7061890000000001
OTU000970	4	0.779173
OTU000971	1	0.27269699999999997
OTU000972	1	0.7434569999999999
OTU000973	1	0.5429430000000001
OTU000974	1	1.295923
OTU000975	1	0.209866
OTU000976	1	0.073051
OTU000977	1	0.25648000000000004
OTU000978	4	0.7726609999999999
OTU000979	1	1.330285
OTU000980	1	0.10453499999999999
OTU000981	4	0.371981
OTU000982	4	0.689995
OTU000983	4	0.8044560000000001
